lang,count,fasttext_precision,lingua_precision,fasttext_recall,lingua_recall,fasttext_f1,lingua_f1
en,36319,0.937642,0.987990,0.881476,0.934366,0.908692,0.960430
fr,33759,0.980412,0.989449,0.828173,0.931849,0.897886,0.959786
de,15540,0.971413,0.978929,0.834112,0.954839,0.897542,0.966734
es,6010,0.843908,0.929216,0.855058,0.799721,0.849447,0.859619
it,4098,0.665311,0.826041,0.878067,0.912855,0.757025,0.867281
nl,3877,0.700655,0.905875,0.870591,0.925161,0.776434,0.915417
pl,1350,0.807497,0.911485,0.962879,0.978790,0.878369,0.943939
sv,1022,0.627437,0.833021,0.869000,0.949733,0.728721,0.887556
pt,839,0.543636,0.426197,0.838710,0.905367,0.659680,0.579566
fi,748,0.531029,0.565506,0.927298,0.982709,0.675325,0.717895
bg,712,0.982072,0.986667,0.834179,0.951768,0.902104,0.968903
hr,518,0.459313,0.883212,0.666667,0.889706,0.543897,0.886447
nb,376,0.371212,0.196429,0.710145,0.416667,0.487562,0.266990
ru,362,0.876877,0.974763,0.926984,0.916914,0.901235,0.944954
hu,235,0.402367,0.682119,0.886957,0.911504,0.553596,0.780303
cs,212,0.566038,0.811881,0.568720,0.828283,0.567376,0.820000
ro,163,0.334239,0.275395,0.836735,0.853147,0.477670,0.416382
da,115,0.211628,0.127152,0.834862,0.950495,0.337662,0.224299
ca,90,0.052419,0.116883,0.822785,0.805970,0.098560,0.204159
ja,60,1.000000,1.000000,0.305556,0.633333,0.468085,0.775510
ar,44,0.854167,0.974359,0.953488,0.926829,0.901099,0.950000
lv,34,0.198582,0.337079,0.848485,0.937500,0.321839,0.495868
zh,25,0.063830,0.531915,0.187500,1.000000,0.095238,0.694444
lt,23,0.068182,0.147887,0.954545,0.913043,0.127273,0.254545
el,22,1.000000,1.000000,0.954545,1.000000,0.976744,1.000000
tr,17,0.066667,0.121495,0.750000,0.928571,0.122449,0.214876
sk,16,0.081250,0.130000,0.812500,0.812500,0.147727,0.224138
uk,15,0.379310,0.423077,0.785714,0.846154,0.511628,0.564103
th,14,1.000000,0.928571,0.857143,0.928571,0.923077,0.928571
sl,14,0.062500,0.159420,0.833333,0.916667,0.116279,0.271605
he,13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
bn,9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
is,8,0.160000,0.112903,1.000000,1.000000,0.275862,0.202899
sr,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
no,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
et,5,0.005822,0.010471,0.800000,0.800000,0.011561,0.020672
id,5,0.015228,0.000000,0.750000,0.000000,0.029851,0.000000
ko,5,0.047059,1.000000,0.800000,1.000000,0.088889,1.000000
sq,3,0.000000,0.015385,0.000000,1.000000,0.000000,0.030303
ka,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vi,1,0.001050,0.200000,1.000000,1.000000,0.002099,0.333333
