,en,fr,de,es,it,nl,pl,sv,pt,fi,bg,hr,nb,ru,hu,cs,ro,da,ca,ja,ar,lv,zh,lt,el,tr,sk,uk,th,sl,he,bn,is,sr,no,et,id,ko,sq,ka,vi
en,28956,133,109,89,320,104,100,35,72,142,0,8,89,0,20,16,138,255,113,0,0,1,0,13,0,29,13,0,1,5,0,0,20,0,0,157,32,0,20,0,0
fr,278,28509,108,123,187,81,0,48,105,185,0,7,73,0,33,9,121,174,228,0,1,26,0,58,0,32,12,0,0,4,0,0,6,0,0,146,19,0,21,0,0
de,15,47,13891,19,62,72,8,57,9,79,0,2,33,0,13,6,3,140,1,0,0,9,0,4,0,5,3,0,0,2,0,0,16,0,0,39,3,0,10,0,0
es,15,51,11,4017,65,17,0,30,619,40,0,23,2,0,10,1,5,1,42,0,0,11,0,18,0,2,16,0,0,5,0,0,2,0,0,10,4,0,4,0,2
it,14,21,2,44,3153,8,6,1,40,45,0,4,14,0,0,0,51,12,3,0,0,0,0,9,0,5,7,0,0,7,0,0,0,0,0,2,6,0,0,0,0
nl,18,28,40,6,12,2868,1,3,13,13,0,0,9,0,11,0,1,28,12,0,0,6,0,1,0,6,1,0,0,4,0,0,1,0,0,15,2,0,1,0,0
pl,1,0,1,1,0,1,1246,1,0,5,0,0,0,0,3,0,0,1,0,0,0,4,0,2,0,1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0
sv,4,1,10,2,1,0,0,888,0,3,0,1,3,0,1,1,1,7,1,0,0,1,0,1,0,1,2,0,0,0,0,0,4,0,0,1,0,0,1,0,0
pt,0,12,10,17,4,0,0,0,641,2,0,0,0,0,1,0,0,0,5,0,0,0,0,8,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,2
fi,1,0,0,0,3,0,0,1,1,682,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
bg,0,0,0,0,0,0,0,0,0,0,592,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0
hr,0,0,0,1,1,0,1,0,0,0,0,363,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,27,0,0,0,0,0,1,3,0,3,0,0
nb,4,2,3,1,3,5,0,0,0,6,0,0,55,0,0,0,0,35,0,0,0,1,0,2,0,6,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0
ru,1,0,0,0,0,1,0,0,0,0,7,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0
hu,0,1,0,2,0,0,4,0,1,1,0,1,0,0,206,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0
cs,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,164,1,0,2,0,0,0,0,2,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ro,0,2,3,0,3,2,1,1,1,1,0,0,0,0,0,0,122,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
da,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca,1,1,2,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ar,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lv,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lt,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
th,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
sl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
he,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
bn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
no,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
et,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
sq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
vi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
