ingredients_text,lang
"اينارجي  509/2129,7
الزيت الكامل 29جرام
الزيت النبات",ar
زبدةالحليب,ar
. هيل قرنفل جوز الطيب,ar
مستحلب E472b,ar
المكونات حليب كامل الدسم سكر مستحضر الحامض والفواكه الإستوائية، مسحوق الحليب بدون قشدة نشا، خمائر لبنية مختارة,ar
ماء، سكر، لب الليمون، معدل الحموضة: حامض الستريك، مثبت (الصمغ العربي)، منكهات طبيعية، مخثرات (بيكتين، صمغ الجيلان)، مادة غذائية ملونة (مرکز تفاح، قرطم، ليمون.,ar
المکونات: سميد صـافي مسـتخرج من القمح الصلب الممتاز.,ar
شكولت,ar
حليب طازج كامل مقوی، سكر، كريمة طازجة، عطر، .خمائر لبنية لليوغرت,ar
ماء منبع، سكر، مركز الليمون، مركز البرتقال، مركز التفاح، نكهة الكيوي، مضافات لأغراض غذائية: حمض ليموني: معدل الحموضة، حمض الاسكوربيك: مضاد الأكسدة، كربوكسي مثيل السيليلوز:مثبت، سوربات البوتاسيوم: مادة حافظة,ar
فارينة القمح  - ماء - سكر  - حليب  - خميرة خبز  - زيت عباد الشمس - ملح  - محسن - مادة حافظة ) بروبيونات الكالسيوم (E282,ar
GhiLat --مhllft المخونات :حليب طري جزئي الدعن، سکر، مسقحضصر الفراولة، عش | نشا،معدل الحموضة، حامض الليمون، ضعة، حمُائر حليبية حقَارة| اSSYnna ملون طبيعي.,ar
السعر 8,ar
طحينة سمسم، سكر، سائل القلوكوز، عرق الصابونين، مستحلب نباتي )ج2 32 - ج 471(، حامض الليمون ج 30 3، فانیلین، عطر مطابق للطبيعي.,ar
"قطع التونة 70% زيت صويا, محلول ملحي .",ar
"500 ml, )إي 4۲ ۱4( ، سكر، صفاربيض سائل , ملح،خل (t s) ( S) i ليمون ، نکهات ) خردل ، بصل( و کالسيوم ديصوديوماي ب في ايه )إی ۳۸۰( مضاف ل لحفاظ على الجودة مسب بات الحساسية : البيض و خردل don modifie (E1442 SAFCES Samsung5), ron et aromatisent iplerCamera 19",ar
المحتويات: مالى سكرون زيت جوز الهند المعصرج كلية مسحوق حليب البقر منزوع الجسم مسحوق مصل الحليب دسم الحليته مواد مستحلبة وعليلة الحادي وثنائي الجليسريحات النباتي صمغ الخروب عمل الجوزاء نكهة الفانيلا المطابقة للطبيعة الوان طبيعية أبيتا كاروتين كركم مجد صافي,ar
زيت الكولزا ماء خل المائدة اصفر البيض نشا الذره معدل ملح سكر مثخن صمغ الزانثان مادة حافظة سوريات البوتاسيوم عصير مركز الليمون حامض الستريك ونكهات,ar
حبق,ar
عباد الشمس,ar
AO713 A 11:09 Ingredients: المكونات معجون طماطم - سكر - ملح - نشامعدل - بنزوات الصوديوم - خل طبيعي - خردل - توابل - لون غذائي مصرح باستخدامه طعم الدخان - زانثان - جوارجم صالح لمدة شهر من تاريخ الإنتاج تحفظ بعيدا عن أشعة الشمس في مكان جيد التهوية 6 772504 789111 Made in Egypt,ar
Nutabella المكونات : سكر، زيوت و دهون نباتية، مسحوق الكاكاو مسحوق مصل الحليب، مستحلب ليستين الصوجا ، ملح ، نكهات البندق والفانيلا,ar
"Краве мляко, сметана от краве мляко, стартерни култури (Lactobacillus bulgaricus, Streptococcus thermophilus).",bg
"35% месо от пуешки гърди, вода, галета (пшенично брашно, мая, трапезна сол, оцветители: каротини, паприка екстракт), пуешка мазнина с кожа, слънчогледово масло, смес с подправки (картофено нишесте, трапезна сол, соев белтък, емулгатор: дифосфати; ароматизант, екстракти от подправки), пшенично брашно, соев белтък, панировка на прах (ръжено брашно, пшенично брашно, трапезна сол, екстракт от подправки), стабилизатор: ацетилиран динишестен адипат, трапезна сол, подправки, консервант: натриев нитрит. Може да съдържа следи от целина.",bg
"Свинско месо, говеждо месо, сланина, сол, ароматизанти, подправки и екстракти от подправки, стабилизатори трифосфатн, Е472с, антиоксиданти: аскорбинова киселина, лимонена киселина, оцветител: кармин, консервант: натриев нитрит, влакнини, захари, лактоза, декстроза",bg
"картофено нишесте, картофени люспи, растителна мазнина, овкусител: пиле",bg
"Тесто (65%): пшенично брашно, вода, рафинирани масла (слънчогледово, палмово, рапично и памучно) в променливо съотношение, царевично нишесте, сол, влагозадържащ агент: глицерол; захар, пшеничен глутен, пшенично нишесте, агенти за обработка на брашното: Е 920, аскорбинова киселина, ензими; ароматизанти, антислепващ агент: силициев диоксид.

Пълнеж (35%): извара (45%), вода, сирене от краве мляко (10%),  пшеничен грис, нишесте, емулгатори: целулоза, Е 466; рафиниранo слънчогледово масло, сол, суроватка, сирене на прах, малтодекстрин, регулатор на киселинност: лимонена киселина; антислепващ агент: силициев диоксид; ароматизанти.",bg
"гъби шиитаке 56%, вода, лук, моркови, оцет, захар, сол, лимонена киселина, аскорбинова киселина, чесън на прах, черен пипер, бахар, дафинов лист",bg
"Черни маслини 42%, слънчогледово масло, босилек, маслинова паста, ядки кашу, сол, маслиново масло 2%, сирене Грана Падано (мляко), фруктоза, кедрови ядки, ароматизант, регулатор на киселинност: млечна киселина. a Информация относно възможни алергени: виж съставките с удебелен шрифт. НЕВЕГЕТАРИАНСКО СИРЕНЕ. МОЖЕ ДА СЪДЪРЖА МАЛКИ ЧАСТИЦИ ОТ ЧЕРУПКИ ОТ ЯДКИ ИЛИ КОСТИЛКИ ОТ МАСЛИНИ.",bg
